220,19 07.0,-27 39,, 3.3,STAR K1.5 Illb,Tau Sgr, 8 ST,,
221,19 09.8,-21 02,6 , 2.9,STAR F2 II + ? + ?,Pi Sgr ABC, 9 ST,Albaldah ,A=3.7 B=3.8
222,19 12.6,+67 39,, 3.1,STAR 69 Ill,Delta Dra, 8 ST,Nodus Secundus,
223,19 30.8,+27 58,350 , 3.1,STAR K3 II + B95 V,Beta Cyg A, 9 ST,Albireo ,B=5.1
224,19 45.0,+45 08,20 , 2.9,STAR B9.5 III + F1 V,Della Cyg AB, 9 ST,,B=6.4
225,19 46.3,+10 37,, 2.7,STAR K3 II,Gamma Aql, 8 ST,Tarazed,
226,19 50.8,+08 52,, 0.8,STAR A7 Vn,Alpha Aql, 8 ST,Altair,
227,20 11.3,-00 50,, 3.2,STAR B9.5 III,Theta Aql, 8 ST,,
228,20 21.1,-14 46,, 3.1,STAR K0 II + A5 V:n,Beta Cap A, 8 ST,Dabih,
229,20 22.2,+40 16,, 2.2,STAR F8 lb,Gamma Cyg, 8 ST,Sadr,
230,20 26.9,+15 05,, 1.9,STAR B2.5 V,Alpha Pav, 8 ST,Peacock,
231,20 37.6,-47 18,, 3.1,STAR K0 III (Cn1),Alpha Ind, 8 ST,,
232,20 41.5,+45 17,, 1.3,STAR A2 la,Alpha Cyg, 8 ST,Deneb,
233,20 46.3,+33 58,, 2.5,STAR K0 III,Epsilon Cyg, 8 ST,Cat,
234,21 13.0,+30 13,, 3.2,STAR 68 Illa Ba 0.6,Zeta Cyg, 8 ST,,
235,21 18.6,+62 36,, 2.4,STAR A7 IV-V,Alpha Cep, 8 ST,Alderamin,
236,21 28.7,+70 33,, 3.2,STAR B1 III,Beta Cep, 8 ST,Alphirk,
237,21 31.6,-05 35,, 2.9,STAR 60 lb,Beta Aqr, 8 ST,Sadalsuud,
238,21 44.2,+09 53,, 2.4,STAR K2 lb,Epsilon Peg, 8 ST,Enif p72 flare,
239,21 47.1,-16 07,, 2.9,STAR A3mF2 V:,Delta Cap, 8 ST,,
240,21 54.0,-37 22,, 3.0,STAR B8 III,Gamma Gru, 8 ST,,
241,22 05.8,-00 19,, 3.0,STAR 62 lb,Alpha Aqr, 8 ST,Sadalmelik,
